entry_date,expiry_date,spot_entry,spot_expiry,signal,direction,K1,K2,sigma_used,entry_cost,expiry_value,pnl,pnl_pct,max_profit,max_loss,win,cumulative_pnl,equity
2017-12-21,2018-01-19,1.18782,1.22366,-1.0,bear_put,1.17594,1.18782,0.0625,0.004175,0.0,-0.004175,-1.0,0.007703,0.004175,False,0.32947899999999986,3886.50022958734
2017-12-29,2018-01-29,1.19417,1.24281,-1.0,bear_put,1.18223,1.19417,0.0536,0.003916,0.0,-0.003916,-1.0,0.008025,0.003916,False,0.3255629999999999,3841.4960414628654
2018-01-01,2018-01-30,1.20049,1.23811,-1.0,bear_put,1.18849,1.20049,0.0549,0.003985,0.0,-0.003985,-1.0,0.00802,0.003985,False,0.32157799999999986,3795.6988786242455
2018-01-02,2018-01-31,1.20116,1.24096,-1.0,bear_put,1.18915,1.20116,0.0533,0.003929,0.0,-0.003929,-1.0,0.008082,0.003929,False,0.31764899999999985,3750.5452894666705
2018-01-03,2018-02-01,1.20635,1.24187,-1.0,bear_put,1.19428,1.20635,0.0548,0.004001,0.0,-0.004001,-1.0,0.008063,0.004001,False,0.31364799999999987,3704.564248433466
2018-01-15,2018-02-13,1.21923,1.23038,-1.0,bear_put,1.20704,1.21923,0.0689,0.00445,0.0,-0.00445,-1.0,0.007743,0.00445,False,0.30919799999999986,3653.423125564744
2018-01-16,2018-02-14,1.22684,1.23538,-1.0,bear_put,1.21457,1.22684,0.0688,0.004474,0.0,-0.004474,-1.0,0.007795,0.004474,False,0.3047239999999999,3602.0061854041464
2018-01-17,2018-02-15,1.22713,1.24673,-1.0,bear_put,1.21486,1.22713,0.0689,0.004477,0.0,-0.004477,-1.0,0.007794,0.004477,False,0.3002469999999999,3550.554768082063
2018-01-25,2018-02-23,1.23911,1.23267,-1.0,bear_put,1.22672,1.23911,0.0759,0.004675,0.006446,0.001771,0.3787,0.007716,0.004675,True,0.3020179999999999,3570.9077857450993
2018-01-26,2018-02-26,1.23923,1.22871,-1.0,bear_put,1.22684,1.23923,0.076,0.004677,0.010522,0.005844,1.2495,0.007715,0.004677,True,0.3078619999999999,3638.069296316967
2018-01-29,2018-02-27,1.24281,1.23156,-1.0,bear_put,1.23038,1.24281,0.0758,0.004689,0.01125,0.006561,1.3994,0.007739,0.004689,True,0.3144229999999999,3713.4708484836374
2018-02-02,2018-03-05,1.251,1.23154,-1.0,bear_put,1.23849,1.251,0.0762,0.004727,0.01251,0.007783,1.6463,0.007783,0.004727,True,0.3222059999999999,3802.916097761674
2018-02-08,2018-03-09,1.22681,1.23066,1.0,bull_call,1.21455,1.23908,0.0855,0.012933,0.016118,0.003185,0.2463,0.011603,0.012933,True,0.3253909999999999,3839.5193508710854
2018-02-09,2018-03-12,1.22608,1.23088,1.0,bull_call,1.21382,1.23834,0.0857,0.012924,0.01706,0.004136,0.3201,0.011598,0.012924,True,0.32952699999999985,3887.0518641710933
2018-02-16,2018-03-19,1.25036,1.22808,-1.0,bear_put,1.23786,1.25036,0.072,0.004635,0.012504,0.007868,1.6975,0.007868,0.004635,True,0.33739499999999983,3977.473966357858
2018-03-07,2018-04-05,1.24167,1.22868,-1.0,bear_put,1.22925,1.24167,0.0793,0.004752,0.012417,0.007665,1.613,0.007665,0.004752,True,0.3450599999999998,4065.563113950836
2018-03-21,2018-04-19,1.22519,1.23791,1.0,bull_call,1.21294,1.23744,0.0737,0.013054,0.024504,0.01145,0.8771,0.01145,0.013054,True,0.3565099999999998,4197.1509469501325
2018-03-27,2018-04-25,1.24575,1.22414,-1.0,bear_put,1.23329,1.24575,0.0793,0.004768,0.012457,0.00769,1.6128,0.00769,0.004768,True,0.3641999999999998,4285.527404222148
2018-04-11,2018-05-10,1.23631,1.18472,-1.0,bear_put,1.22394,1.23631,0.0696,0.004529,0.012363,0.007834,1.7299,0.007834,0.004529,True,0.3720339999999998,4375.558765245422
2018-04-12,2018-05-11,1.23716,1.19175,-1.0,bear_put,1.22479,1.23716,0.068,0.004493,0.012372,0.007879,1.7536,0.007879,0.004493,True,0.37991299999999983,4466.107283690964
2018-04-23,2018-05-22,1.22734,1.17925,1.0,bull_call,1.21507,1.23961,0.0583,0.013318,0.0,-0.013318,-1.0,0.011229,0.013318,False,0.36659499999999984,4313.051671473966
