date,portfolio_returns,portfolio_costs,portfolio_net,equity,ret_EURUSD,ret_USDJPY,ret_GBPUSD,ret_AUDUSD
2020-10-12,0.0,0.0,0.0,115.29453844676453,0.0,-0.0,0.0,0.0
2020-10-13,-1.213697976971176e-05,0.0,-1.213697976971176e-05,115.29313911928385,-4.0883815209291546e-05,-0.0,0.0,-0.0
2020-10-14,0.0018586819497289114,2.3878287821293978e-08,0.0018586580714410903,115.50742964288968,0.006258514217526101,0.0,-0.0,-0.0
2020-10-15,-2.8787116949480974e-05,1.8226735818561158e-06,-3.060979053133709e-05,115.50389398466348,-0.0001,-0.0,0.0,-0.0
2020-10-16,0.0,0.0,0.0,115.50389398466348,-0.0,0.0,-0.0,-0.0
2020-10-19,0.0,1.2013023898813648e-07,-1.2013023898813648e-07,115.50388010915309,0.0,0.0,0.0,0.0
2020-10-20,0.0,2.74585205377349e-06,-2.74585205377349e-06,115.50356295258668,0.0,0.0,0.0,-0.0
2020-10-21,-0.0003276431942195415,5.277383931903634e-07,-0.00032817093261273186,115.46565804061244,0.0,0.0,0.0,-0.0009741976455370893
2020-10-22,0.0026446776204080077,3.4951944391404814e-07,0.002644328100964094,115.77098712486553,0.0,-0.0,0.0,0.007887175572067306
2020-10-23,0.0009356264389565146,5.134666716274317e-06,0.0009304917722402404,115.87871107584932,0.003184551955978321,0.0,-0.0,-0.0001
2020-10-26,-3.386169232169211e-05,7.018426216088542e-06,-4.0880118537780653e-05,115.87397394040455,-0.0001,-0.0,-0.0,0.0
2020-10-27,0.0,1.3053778356436508e-06,-1.3053778356436508e-06,115.87382268108723,-0.0,0.0,-0.0,-0.0
2020-10-28,0.0,7.937577994271416e-09,-7.937577994271416e-09,115.87382176132972,-0.0,-0.0,0.0,0.0
2020-10-29,0.0,0.0,0.0,115.87382176132972,-0.0,-0.0,-0.0,-0.0
2020-10-30,0.0,5.33511646045839e-06,-5.33511646045839e-06,115.8732035609959,-0.0,0.0,-0.0,-0.0
2020-11-02,-0.0012018727102343933,7.549735073103526e-09,-0.0012018802599694663,115.73393784497652,-0.003231736893679515,0.0,-0.0,-0.0
2020-11-03,0.001825958934667181,1.3872472312574213e-06,0.0018245716874359236,115.94510271124392,5.826265274877507e-05,0.0,-0.0,0.006392196504654712
2020-11-04,-6.41783806852066e-05,2.243992356858993e-06,-6.64223730420656e-05,115.93740136237922,-0.0001,-0.0,0.0,-0.0001
2020-11-05,0.0,5.547684142231946e-09,-5.547684142231946e-09,115.93740071919514,-0.0,-0.0,-0.0,-0.0
2020-11-06,0.0,0.0,0.0,115.93740071919514,0.0,-0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,115.93740071919514,0.0,-0.0,0.0,0.0
2020-11-10,0.002010149264202194,0.0,0.002010149264202194,116.17045219994435,0.005423335652097172,0.0,-0.0,-0.0
2020-11-11,-3.566772736347162e-05,2.7941729838137422e-06,-3.8461900347285364e-05,116.16598406358854,-0.0001,0.0,0.0,-0.0
2020-11-12,0.0,6.860476829195772e-09,-6.860476829195772e-09,116.1659832666345,-0.0,0.0,-0.0,0.0
2020-11-13,0.0,0.0,0.0,116.1659832666345,0.0,-0.0,-0.0,-0.0
2020-11-16,0.0,0.0,0.0,116.1659832666345,0.0,-0.0,0.0,0.0
2020-11-17,0.0,0.0,0.0,116.1659832666345,0.0,-0.0,0.0,0.0
2020-11-18,0.0,8.427263527412471e-06,-8.427263527412471e-06,116.16500430528059,0.0,-0.0,0.0,-0.0
2020-11-19,0.0,6.242508253623269e-09,-6.242508253623269e-09,116.16500358011959,-0.0,-0.0,-0.0,0.0
2020-11-20,0.0,0.0,0.0,116.16500358011959,0.0,-0.0,-0.0,-0.0
2020-11-23,0.0,0.0,0.0,116.16500358011959,0.0,-0.0,0.0,0.0
2020-11-24,0.0,0.0,0.0,116.16500358011959,-0.0,0.0,0.0,-0.0
2020-11-25,0.0,0.0,0.0,116.16500358011959,0.0,-0.0,0.0,0.0
2020-11-26,-0.0006930549108503299,0.0,-0.0006930549108503299,116.08449485391942,-0.0017378050687411161,-0.0,0.0,-0.0
2020-11-27,0.00013314842953004758,5.132408232328412e-07,0.00013263518870681475,116.09989174280031,0.00033602610922867093,-0.0,-0.0,-0.0
2020-11-30,-3.9623018864362787e-05,2.8217338217451095e-09,-3.962584059818453e-05,116.09529118699665,-0.0001,-0.0,-0.0,0.0
2020-12-01,0.001062461263818962,5.4587344949064145e-09,0.001062455805084467,116.21863730306123,0.0026816090374511717,0.0,0.0,-0.0
2020-12-02,-3.917650076845809e-05,8.875774573144701e-07,-4.006407822577256e-05,116.21398111048504,-0.0001,0.0,0.0,0.0
2020-12-03,-0.0013441999273997806,6.363571784195887e-09,-0.0013442062909715647,116.05776554597749,-0.003431417000938863,0.0,-0.0,0.0
2020-12-04,-0.0009822179159009877,1.6936186521770314e-06,-0.0009839115345531648,115.94357497178234,-0.0025627638016210152,-0.0,0.0,0.0
2020-12-07,0.0007576930349018031,8.8364145530338e-07,0.0007568093934464997,116.03132215843075,0.001999998037004569,0.0,-0.0,-0.0
2020-12-08,-3.766825108742771e-05,4.3287568279616333e-07,-3.8101126770223876e-05,116.02690123431587,-0.0001,-0.0,-0.0,-0.0
2020-12-09,0.0,7.032594510372081e-07,-7.032594510372081e-07,116.02681963730102,-0.0,0.0,0.0,-0.0
2020-12-10,0.0,8.664008189152166e-05,-8.664008189152166e-05,116.01676706414604,-0.0,0.0,0.0,0.0
2020-12-11,0.0,2.7771478557594988e-08,-2.7771478557594988e-08,116.01676384218887,0.0,-0.0,-0.0,0.0
2020-12-14,0.0,9.15907236252872e-09,-9.15907236252872e-09,116.01676277958293,-0.0,-0.0,0.0,0.0
2020-12-15,0.0,0.0,0.0,116.01676277958293,0.0,0.0,0.0,-0.0
2020-12-16,0.0,0.0,0.0,116.01676277958293,0.0,-0.0,0.0,0.0
2020-12-17,0.0,0.0,0.0,116.01676277958293,0.0,-0.0,0.0,0.0
2020-12-18,-0.0006567928693993786,0.0,-0.0006567928693993786,115.9405637970585,-0.005274836135400485,-0.0,0.0,0.0
2020-12-21,0.0004450266902903366,1.4753178519884128e-06,0.0004435513724383482,115.99198939325197,0.003799173146871393,0.0,-0.0,-0.0
2020-12-22,-1.2045119364106263e-05,6.626836741969192e-07,-1.2707803038303183e-05,115.99051538989673,-0.0001,-0.0,0.0,-0.0
2020-12-23,0.0,3.8581153058576015e-05,-3.8581153058576015e-05,115.98604034206915,-0.0,0.0,-0.0,-0.0
2020-12-24,0.0,0.00017203463674839257,-0.00017203463674839257,115.96608672575101,0.0,0.0,0.0,0.0
2020-12-25,0.0,9.461574146278407e-07,-9.461574146278407e-07,115.96597700357822,-0.0,0.0,0.0,0.0
2020-12-28,0.0,1.0449698364284937e-05,-1.0449698364284937e-05,115.96476519409802,0.0,-0.0,0.0,0.0
2020-12-29,0.0,1.2418962007620937e-08,-1.2418962007620937e-08,115.96476375393601,0.0,0.0,-0.0,-0.0
2020-12-30,0.0,0.0,0.0,115.96476375393601,0.0,-0.0,0.0,0.0
2020-12-31,0.0,0.0,0.0,115.96476375393601,0.0,-0.0,0.0,0.0
2021-01-01,0.004107186089733754,0.0,0.004107186089733754,116.44105261852542,0.00962591227614994,0.0,0.0,0.0
2021-01-04,-3.795592950695139e-05,9.424179210964556e-06,-4.738010871791595e-05,116.43553562879312,-0.0001,0.0,0.0,0.0
2021-01-05,0.0,1.6231053697032373e-06,-1.6231053697032373e-06,116.43534664165003,0.0,-0.0,-0.0,-0.0
2021-01-06,0.0,5.751741638088115e-09,-5.751741638088115e-09,116.435345971944,0.0,-0.0,0.0,0.0
2021-01-07,0.0,0.0,0.0,116.435345971944,0.0,0.0,-0.0,0.0
2021-01-08,0.0021497525227175186,0.0,0.0021497525227175186,116.68565315068066,0.005544835359129851,0.0,-0.0,-0.0
2021-01-11,-3.755662064306758e-05,2.42747483910894e-06,-3.998409548217652e-05,116.68098758038367,-0.0001,0.0,-0.0,-0.0
2021-01-12,0.0,3.195278430863258e-06,-3.195278430863258e-06,116.68061475214077,-0.0,0.0,0.0,-0.0
2021-01-13,0.0015126363073434707,5.755270980212224e-09,0.0015126305520724904,116.85710941484946,0.0038629900042505996,-0.0,0.0,0.0
2021-01-14,-3.855201235262086e-05,1.2102502827369078e-06,-3.976226263535777e-05,116.8524629117741,-0.0001,0.0,-0.0,-0.0
2021-01-15,0.0,6.566909139110733e-09,-6.566909139110733e-09,116.85246214441459,-0.0,-0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,116.85246214441459,-0.0,0.0,-0.0,-0.0
2021-01-19,0.0002536681831875381,3.2213428422759316e-07,0.0002533460489033105,116.8820662540035,0.0006608065497719529,-0.0,0.0,-0.0
2021-01-20,-2.8340300222563664e-05,2.0094723066747682e-05,-4.843502328931135e-05,116.87640506840238,-0.0001,0.0,0.0,0.0
2021-01-21,0.0,6.463828871974498e-07,-6.463828871974498e-07,116.87632952149423,-0.0,-0.0,0.0,0.0
2021-01-22,0.0,5.171438349393931e-09,-5.171438349393931e-09,116.87632891707548,0.0,-0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,116.87632891707548,0.0,0.0,-0.0,-0.0
2021-01-26,0.0,0.0,0.0,116.87632891707548,-0.0,-0.0,-0.0,0.0
2021-01-27,0.0,0.0,0.0,116.87632891707548,0.0,-0.0,0.0,0.0
2021-01-28,0.0,0.0,0.0,116.87632891707548,-0.0,0.0,-0.0,-0.0
2021-01-29,0.0016600185725183369,1.0431787105415368e-06,0.0016589753938077952,117.07022387086752,0.0,0.0,0.0,0.0023442506356026074
2021-02-01,-8.685557633478466e-05,3.2086486150785024e-05,-0.00011894206248556968,117.05629929698466,0.0,0.0,-0.0,-0.0001
2021-02-02,0.0010894731964192343,3.539151363279869e-09,0.001089469657267871,117.18382858326079,-0.0,-0.001962710394848088,-0.0,0.0018193224385822826
2021-02-03,-0.000999612119761902,8.658986189965647e-05,-0.0010862019816615584,117.05654327643498,-0.002555957182741275,-0.0014016187722056817,-0.0,-0.0001
2021-02-04,0.001649350159948317,9.677362651605622e-06,0.0016396727972967113,117.24847770619094,0.0002769556190749256,0.00031417461425509163,-0.0,0.0035530352179575678
2021-02-05,-0.00010000000000000002,1.9681134008437065e-05,-0.00011968113400843709,117.23444527541831,-0.0001,-0.0001,0.0,-0.0001
2021-02-08,0.0015532410732099766,9.880356928481243e-07,0.0015522530375171285,117.4164227991987,0.006755858420775629,0.0015291921399572695,0.0,0.0
2021-02-09,-6.507866826960335e-05,7.691122041357227e-06,-7.276979031096058e-05,117.40787843073255,-0.0001,-0.0001,0.0,0.0
2021-02-10,0.0,1.2646607147627499e-08,-1.2646607147627499e-08,117.40787694592123,0.0,-0.0,0.0,0.0
2021-02-11,0.0,0.0,0.0,117.40787694592123,0.0,0.0,0.0,-0.0
2021-02-12,0.0,0.0,0.0,117.40787694592123,0.0,0.0,-0.0,0.0
2021-02-15,0.0,0.0,0.0,117.40787694592123,-0.0,0.0,0.0,0.0
2021-02-16,0.0,0.0,0.0,117.40787694592123,0.0,0.0,0.0,0.0
2021-02-17,0.0,0.0,0.0,117.40787694592123,-0.0,0.0,-0.0,-0.0
2021-02-18,0.0,0.0,0.0,117.40787694592123,-0.0,-0.0,-0.0,0.0
2021-02-19,0.0,0.0,0.0,117.40787694592123,0.0,-0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,117.40787694592123,0.0,-0.0,0.0,0.0
2021-02-23,0.0,0.0,0.0,117.40787694592123,0.0,-0.0,0.0,0.0
2021-02-24,0.00010924296588494151,1.4158596643151778e-07,0.00010910137991850999,117.42068630730935,0.0011042622122976354,0.0,0.0,-0.0
